GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
concert-backend,com.concert.dto,LoginRequest,0,26,0,0,0,11,0,6,0,6
concert-backend,com.concert.dto,BookingResponse,66,0,0,0,28,0,19,0,19,0
concert-backend,com.concert.dto,RegisterRequest,0,36,0,0,0,15,0,8,0,8
concert-backend,com.concert.dto,UserProfileResponse,81,45,0,0,23,16,23,3,23,3
concert-backend,com.concert.dto,CreateBookingRequest,45,0,0,0,19,0,13,0,13,0
concert-backend,com.concert.dto,CreateEventRequest,87,0,0,0,37,0,25,0,25,0
concert-backend,com.concert.dto,EventResponse,108,0,0,0,46,0,31,0,31,0
concert-backend,com.concert.dto,UpdateProfileRequest,73,0,0,0,21,0,21,0,21,0
concert-backend,com.concert.dto,AuthResponse,0,65,0,0,0,25,0,13,0,13
concert-backend,com.concert.model,User,0,145,0,0,0,62,0,34,0,34
concert-backend,com.concert.model,Booking,93,3,4,0,39,1,25,1,23,1
concert-backend,com.concert.model,Event,193,3,18,0,72,1,47,1,38,1
concert-backend,com.concert.controller,UserController,146,32,26,0,32,10,15,4,2,4
concert-backend,com.concert.controller,BookingController,46,6,0,0,12,3,4,1,4,1
concert-backend,com.concert.controller,EventController,95,9,8,0,20,4,11,1,7,1
concert-backend,com.concert.controller,AuthController,5,79,1,5,2,23,1,7,0,5
concert-backend,com.concert.security,JwtAuthenticationFilter,0,63,0,10,0,14,0,7,0,2
concert-backend,com.concert.config,SecurityConfig,0,192,0,0,0,26,0,10,0,10
concert-backend,com.concert,ConcertBackendApplication,0,8,0,0,0,3,0,2,0,2
concert-backend,com.concert.service,EventService,234,6,10,0,48,3,13,1,8,1
concert-backend,com.concert.service,BookingService,207,9,6,0,45,4,12,1,9,1
concert-backend,com.concert.service,JwtService,0,119,0,4,0,33,0,15,0,13
concert-backend,com.concert.service,AuthService,42,148,2,10,17,32,2,9,1,4
